adult,original_language,original_title,overview,release_date,vote_average,vote_count
False,sv,Häxan,"Grave robbing, torture, possessed nuns, and a satanic Sabbath: Benjamin Christensen's legendary film uses a series of dramatic vignettes to explore the scientific hypothesis that the witches of the Middle Ages suffered the same hysteria as turn-of-the-century psychiatric patients. But the film itself is far from serious-- instead it's a witches' brew of the scary, gross, and darkly humorous.",1922-09-18,7.5,66.0
False,en,Safety Last!,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.",1923-04-01,7.7,76.0
False,en,Our Hospitality,"A man returns to his Appalachian homestead. On the trip, he falls for a young woman. The only problem is her family has vowed to kill every member of his family.",1923-11-19,7.7,49.0
False,en,"Sherlock, Jr.","A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",1924-04-21,8.1,134.0
False,en,The Navigator,Two spoiled rich people find themselves trapped on an empty passenger ship.,1924-10-13,7.3,38.0
False,de,Der letzte Mann,"An aging doorman, after being fired from his prestigious job at a luxurious Hotel is forced to face the scorn of his friends, neighbours and society.",1924-12-23,7.7,63.0
False,en,Seven Chances,A man learns he will inherit a fortune if he marries -- by 7 p.m. today.,1925-03-11,7.3,49.0
False,en,The Gold Rush,A lone prospector ventures into Alaska looking for gold. He gets mixed up with some burly characters and falls in love with the beautiful Georgia. He tries to win her heart with his singular charm.,1925-06-25,7.7,308.0
False,ru,Броненосец «Потёмкин»,A dramatized account of a great Russian naval mutiny and a resulting street demonstration which brought on a police massacre. The film had an incredible impact on the development of cinema and was a masterful example of montage editing.,1925-12-24,7.6,201.0
False,de,Die Abenteuer des Prinzen Achmed,"Based on stories from ""The Arabian Nights."" A wicked sorcerer tricks Prince Achmed into riding a magical flying horse. The heroic prince is able to subdue the magical horse, which he uses to fly off to many adventures. While travelling, he falls in love with the beautiful Princess Peri Banu, and must defeat an army of demons to win her heart. The film is animated using the silhouette technique.",1926-09-03,7.8,36.0
False,de,Faust – Eine deutsche Volkssage,"God and Satan war over earth; to settle things, they wager on the soul of Faust, a learned and prayerful alchemist.",1926-10-13,7.8,66.0
False,en,The General,"During America’s Civil War Union spies steal engineer Johnnie Gray's (Buster Keaton's) beloved locomotive The General and he single-handedly must do all in his power to get it back. Released throughout most of the world in 1927, this Silent comedy-action film flopped when originally released, but now is regarded as one of the great American motion pictures. The story is based on actual historic events.",1926-12-31,8.0,240.0
False,de,Metropolis,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",1927-01-10,8.0,666.0
False,en,The Lodger: A Story of the London Fog,A London landlady suspects her mysterious new lodger may be The Avenger who is killing blonde women.,1927-02-14,7.2,49.0
False,en,Wings,"Two young men, one rich, one middle class, both in love with the same woman (Jobyna Ralston), become US Air Corps fighter pilots and, eventually, heroic flying aces during World War I. Devoted best friends, their mutual love of the girl eventually threatens their bond. Meanwhile, a hometown girl (Clara Bow) who's the love struck lifelong next door neighbor of one of them, pines away.",1927-08-12,7.0,59.0
False,en,Sunrise: A Song of Two Humans,"A married farmer falls under the spell of a slatternly woman from the city, who tries to convince him to drown his wife.",1927-09-23,7.9,155.0
False,en,The Circus,"Charlie, a wandering tramp, becomes a circus handyman and falls in love with the circus owner's daughter. Unaware of Charlie's affection, the girl falls in love with a handsome young performer. Charlie's versatility makes him star of the show when he substitutes for an ailing tightwire walker. He is discharged from the company when he protects the girl from her father's abuse, but he returns and appeals to the handsome performer to marry the girl. After the wedding the father prevails upon them to rejoin the circus. Charlie is hired again, but he stays behind when the caravan moves on.",1928-01-06,8.0,119.0
False,en,"Steamboat Bill, Jr.",The just out of college effete son of a no-nonsense steamboat captain comes to visit his father whom he's not seen since he was little.,1928-02-14,7.9,66.0
False,fr,La passion de Jeanne d'Arc,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",1928-04-21,8.2,159.0
False,en,The Man Who Laughs,"Gwynplaine, son of Lord Clancharlie, has a permanent smile carved on his face by the King, in revenge for Gwynplaine's father's treachery. Gwynplaine is adopted by a travelling showman and becomes a popular idol. He falls in love with the blind Dea. The king dies, and his evil jester tries to destroy or corrupt Gwynplaine.",1928-04-27,7.4,32.0
False,en,The Cameraman,"Buster is a tintype portrait photographer who at first sight develops a serious crush on Sally, a beautiful young woman who works as a secretary for MGM's newsreel department. Buster seeks to also work there, as a newsreel cameraman, in hopes of impressing her. However, his skills with a movie camera are lacking at first. Buster is determined to succeed, in hopes of winning the girl.",1928-09-16,8.1,54.0
False,en,Steamboat Willie,"Mickey Mouse, piloting a steamboat, delights his passenger, Minnie, by making musical instruments out of the menagerie on deck.",1928-11-18,7.4,76.0
False,ru,Человек с киноаппаратом,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention.",1929-01-08,8.1,114.0
False,de,Die Büchse der Pandora,The rise and inevitable fall of an amoral but naive young woman whose insouciant eroticism inspires lust and violence in those around her.,1929-01-30,7.6,46.0
False,fr,Un chien andalou,Un Chien Andalou is a classic European avant-garde surrealist film from the cooperation of Director Luis Buñuel and Salvador Dali. The film changed the way people made movies. Most famous is the scene of a woman’s eye being cut with a knife.,1929-06-05,7.5,256.0
False,en,Blackmail,"Alice's boyfriend Frank is a Scotland Yard detective who seems more interested in police work than in her. When she agrees to go out with another man, he attacks her and she defends herself and kills him. When the body is discovered, Frank is assigned to the case. He quickly discovers that Alice is the killer, but so has someone else, and they are threatening blackmail.",1929-06-30,6.8,45.0
False,de,Der blaue Engel,"The Blue Angel follows Immanuel Rath (Emil Jannings) through a transformation from esteemed educator at the local Gymnasium (college preparatory high school) to a cabaret clown in Weimar Germany. Rath's descent begins when he punishes several of his students for circulating photographs of the beautiful Lola Lola (Marlene Dietrich) the headliner for the local cabaret, The Blue Angel. Hoping to catch the boys at the club, Professor Rath goes there later that evening and meets Lola herself. Consumed with desire and determined to remain at Lola's side, Rath returns to the night club the following evening (to return a pair of panties that were smuggled into his coat by one of his students) and stays the night with her. The next morning, reeling from his night of passion, Rath arrives late to school to find his classroom in chaos and the principal furious with his behavior.",1930-03-31,7.4,52.0
False,en,All Quiet on the Western Front,"A young soldier faces profound disillusionment in the soul-destroying horror of World War I. Together with several other young German soldiers, he experiences the horrors of war, such evil of which he had not conceived of when signing up to fight. They eventually become sad, tormented, and confused of their purpose.",1930-04-29,7.5,166.0
False,en,Animal Crackers,The famous Captain Spaulding returns from Africa and attends a gala party where a valuable painting is stolen.,1930-08-28,7.2,45.0
False,fr,L'âge d'or,"The film consists of a series of tightly interlinked vignettes, the most sustained of which details the story of a man and a woman who are passionately in love. Their attempts to consummate their passion are constantly thwarted, by their families, by the Church and bourgeois society in general. In one notable scene, the young girl passionately fellates the toe of a religious statue.",1930-10-28,6.7,53.0
False,en,Little Caesar,"A small-time hood shoots his way to the top, but how long can he stay there?",1931-01-09,6.9,63.0
False,en,City Lights,City Lights is the first silent film that Charlie Chaplin directed after he established himself with sound accompanied films. The film is about a penniless man who falls in love with a flower girl. The film was a great success and today is deemed a cult classic.,1931-01-30,8.2,444.0
False,en,The Public Enemy,"James Cagney star's as Tom Powers, a trouble-ridden individual who rises from the position of cheap thug to that of a powerful Prohibition gangster. When his best friend is murdered, Powers self-destructively seeks deadly retaliation.",1931-04-23,7.3,77.0
False,de,M,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",1931-05-11,8.0,465.0
False,en,Frankenstein,Henry Frankenstein is a doctor who is trying to discover a way to make the dead walk. He succeeds and creates a monster that has to deal with living again.,1931-11-21,7.3,295.0
False,en,Dr. Jekyll and Mr. Hyde,"Based on the story by Robert Louis Stevenson, Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug it is already too late...",1931-12-31,7.3,56.0
False,en,Shanghai Express,Shanghai Express is an American love story and adventure film by Josef von Sternberg from 1932 starring Marlene Dietrich. The film takes place in a train during the Chinese civil war.,1932-02-02,6.5,37.0
False,en,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",1932-02-20,7.7,228.0
False,en,Tarzan the Ape Man,"James Parker and Harry Holt are on an expedition in Africa in search of the elephant burial grounds that will provide enough ivory to make them rich. Parker's beautiful daughter Jane arrives unexpectedly to join them. Jane is terrified when Tarzan and his ape friends first abduct her, but when she returns to her father's expedition she has second thoughts about leaving Tarzan.",1932-04-02,6.5,42.0
False,en,The Music Box,"The Laurel &amp; Hardy Moving Co. have a challenging job on their hands (and backs): hauling a player piano up a monumental flight of stairs to Prof. von Schwarzenhoffen's house. Their task is complicated by a sassy nursemaid and, unbeknownst to them, the impatient Prof. von Schwarzenhoffen himself. But the biggest problem is the force of gravity, which repeatedly pulls the piano back down to the bottom of the stairs. Finally, the irate Professor explodes in fury to discover the ""mechanical blunderbuss"" in his home, not knowing it was a surprise birthday present from his wife.",1932-04-16,7.5,39.0
False,de,Vampyr - Der Traum des Allan Grey,A traveler obsessed with the supernatural visits an old inn and finds evidence of vampires.,1932-05-06,7.2,96.0
False,en,Grand Hotel,"Guests at a posh Berlin hotel struggle through worry, scandal, and heartache.",1932-05-25,6.5,67.0
False,en,White Zombie,"In Haiti, a wealthy landowner convinces a sorcerer to lure the American woman he has fallen for away from her fiance, only to have the madman decide to keep the woman for himself, as a zombie.",1932-08-04,5.9,52.0
False,en,Horse Feathers,"Quincy Adams Wagstaff, the new president of Huxley U, hires bumblers Baravelli and Pinky to help his school win the big football game against rival Darwin U.",1932-08-19,6.6,40.0
False,en,The Most Dangerous Game,"When legendary hunter Bob Rainsford is shipwrecked on the perilous reefs surrounding a mysterious island, he finds himself the guest of the reclusive and eccentric Count Zaroff. While he is very gracious at first, Zaroff eventually forces Rainsford and two other shipwreck survivors, brother and sister Eve and Martin Towbridge, to participate in a sadistic game of cat and mouse in which they are the prey and he is the hunter.",1932-09-16,7.2,43.0
False,en,The Old Dark House,"Seeking shelter from a pounding rainstorm in a remote region of Wales, several travellers are admitted to a gloomy, foreboding mansion belonging to the extremely strange Femm family. Trying to make the best of it, the guests must deal with their sepulchral host, Horace Femm and his obsessive, malevolent sister Rebecca. Things get worse as the brutish manservant Morgan gets drunk and runs amok.",1932-10-20,6.7,46.0
False,en,Trouble in Paradise,"Trouble in Paradise is one of the most important films of Actor, Producer, and Director Ernst Lubitisch, and his personal favorite of all the films he’s made. A story of two thieves who fall in love and begin doing jobs together under the employment of a beautiful woman who stirs up the relationship.",1932-10-21,7.3,48.0
False,en,I Am a Fugitive from a Chain Gang,"Warner Bros.' hard-hitting chain-gang movie was a faithful adaptation of the similarly titled autobiography of Robert Elliot Burns. Paul Muni plays World War I veteran James Allen, whose plans of becoming a master architect evaporate in the cold light of economic realities. Times get really tough when he's falsely convicted of a crime and forced to work on a chain gang.",1932-11-19,7.4,47.0
False,en,Island of Lost Souls,"An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",1932-12-01,7.0,56.0
False,en,42nd Street,"A producer puts on what may be his last Broadway show, and at the last moment a chorus girl has to replace the star.",1933-02-02,6.1,38.0
False,fr,Zéro de conduite,"In a repressive boarding school with rigid rules of behavior, four boys decide to rebel against the director on a celebration day.",1933-04-07,6.8,40.0
False,de,Das Testament des Dr. Mabuse,"Fritz Lang directed this sequel to his nearly four-hour Dr. Mabuse silent of 1922. The film opens with Detective Hofmeister spying on the activities of a criminal syndicate. Not realizing he has been seen, Hofmeister is attacked by the thugs and later turns up out of his mind.",1933-04-21,7.5,46.0
False,en,Three Little Pigs,"The two pigs building houses of hay and sticks scoff at their brother, building the brick house. But when the wolf comes around and blows their houses down (after trickery like dressing as a foundling sheep fails), they run to their brother's house. And throughout, they sing the classic song, ""Who's Afraid of the Big Bad Wolf?"".",1933-05-27,6.8,75.0
False,en,The Invisible Man,"Working in Dr. Cranley's laboratory, scientist Jack Griffin was always given the latitude to conduct somhe of his own experiments. His sudden departure, however, has Cranley's daughter Flora worried about him. Griffin has taken a room at the nearby Lion's Head Inn, hoping to reverse an experiment he conducted on himself that made him invisible. Unfortunately, the drug he used has also warped his mind, making him aggressive and dangerous. He's prepared to do whatever it takes to restore his appearance, and several will die in the process.",1933-11-13,7.3,151.0
False,en,Duck Soup,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,1933-11-17,7.6,170.0
False,en,The Son of Kong,Beleaguered adventurer Carl Denham returns to the island where he found King Kong.,1933-12-22,5.2,31.0
False,en,Sons of the Desert,Stan and Ollie deceive their wives into thinking they are taking a medicinal cruise when they are really going to a convention.,1933-12-29,7.2,42.0
False,en,Design for Living,"Two Americans sharing a flat in Paris, playwright Tom Chambers and painter George Curtis, fall for free-spirited Gilda Farrell. When she can't make up her mind which one of them she prefers, she proposes a ""gentleman's agreement"": She will move in with them as a friend and critic of their work, but they will never have sex. But when Tom goes to London to supervise a production of one of his plays, leaving Gilda alone with George, how long will their gentleman's agreement last?",1933-12-29,7.1,44.0
False,en,It Happened One Night,"Ellie Andrews has just tied the knot with society aviator King Westley when she is whisked away to her father's yacht and out of King's clutches. Ellie jumps ship and eventually winds up on a bus headed back to her husband. Reluctantly she must accept the help of out-of- work reporter Peter Warne. Actually, Warne doesn't give her any choice: either she sticks with him until he gets her back to her husband, or he'll blow the whistle on Ellie to her father. Either way, Peter gets what he wants... a really juicy newspaper story!",1934-02-22,7.7,283.0
False,en,Tarzan and His Mate,"Harry Holt returns to Africa to head up a large ivory expedition. This time he brings his womanizing friend Marlin Arlington. Holt also harbors ideas about convincing Jane to return to London. When Holt and Arlington show Jane some of the modern clothes and perfumes they brought from civilization, she is impressed but not enough to return.",1934-04-20,6.1,38.0
False,fr,L'Atalante,Newly married couple Juliette and a ship captain Jean struggle through marriage as they travel on the L'atalante along with the captain's first mate Le père Jules and a cabin boy.,1934-04-24,7.3,75.0
False,en,The Black Cat,American honeymooners in Hungary are trapped in the home of a Satan-worshiping priest when the bride is taken there for medical help following a road accident.,1934-05-07,6.5,54.0
False,en,The Thin Man,"After a four year absence, one time detective Nick Charles returns to New York with his new wife Nora and their dog, Asta. Nick re-connects with many of his old cronies, several of whom are eccentric characters, to say the least. He's also approached by Dorothy Wynant whose inventor father Clyde Wynant is suspected of murdering her step-mother. Her father had left on a planned trip some months before and she has had no contact with him. Nick isn't all that keen on resuming his former profession but egged-on by wife Nora, who thinks this all very exciting, he agrees to help out. He solves the case, announcing the identity of the killer at a dinner party for all of the suspects.",1934-05-25,7.4,97.0
False,de,Triumph des Willens,"The propaganda film of the 1934 Nazi Party rally in Nuremberg, Germany",1935-03-28,6.9,62.0
False,en,Bride of Frankenstein,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.",1935-04-21,7.4,208.0
False,en,Werewolf of London,A strange animal attack turns a botanist into a bloodthirsty monster.,1935-05-13,6.4,32.0
False,en,The 39 Steps,"While on vacation in London, Canadian Richard Hannay becomes embroiled in an international spy ring related to the mysterious ""39 steps."" Then he meets agent Annabella Smith, who is soon killed in his apartment. He must elude the police, who are hunting him for murder, while he tries to stop Professor Jordan from sending secrets out of the country. Hannay is assisted by Pamela, an unwilling accomplice who discovers the truth.",1935-06-01,7.4,217.0
False,en,Top Hat,"Showman Jerry Travers is working for producer Horace Hardwick in London. Jerry demonstrates his new dance steps late one night in Horace's hotel, much to the annoyance of sleeping Dale Tremont below. She goes upstairs to complain and the two are immediately attracted to each other. Complications arise when Dale mistakes Jerry for Horace.",1935-09-06,7.4,62.0
False,en,A Night at the Opera,The Marx Brothers take on high society and the opera world to bring two lovers together.,1935-11-08,7.6,109.0
False,en,Mutiny on the Bounty,"Fletcher Christian successfully leads a revolt against the ruthless Captain Bligh on the HMS Bounty. However, Bligh returns one year later, hell bent on avenging his captors.",1935-11-08,7.1,72.0
False,en,Captain Blood,Errol Flynn leads a group of slaves to freedom and piracy.,1935-12-19,7.3,55.0
False,en,Reefer Madness,"High-school principal Dr. Alfred Carroll (Josef Forte) relates to an audience of parents that marijuana can have devastating effects on teens. In his story, a drug supplier entices several restless teens, including sister and brother Mary (Dorothy Short) and Jimmy Lane (Warren McCollum) and Mary's boyfriend, Bill (Kenneth Craig), into frequenting a ""reefer"" house. Gradually, Bill and Jimmy are drawn into smoking dope, which affects their family lives and leads to a terrible crime.",1936-01-15,4.1,31.0
False,en,Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,1936-02-05,8.1,881.0
False,en,The Petrified Forest,"Gabby lives and works at her dads small diner out in the desert. She can't stand it and wants to go and live with her mother in France. Along comes Alan, a broke man with no will to live, who is traveling to see the pacific, and maybe to drown in it. Meanwhile Duke Mantee a notorious killer and his gang is heading towards the diner where Mantee plan on meeting up with his girl.",1936-02-08,7.1,53.0
False,en,Things to Come,"Late 1960 and the world consists of feudal cities after decades of a global war and plague. 2035 and the world has been rebuilt with fantastic technology, but has progress gone too far and has man learned anything.",1936-02-20,6.7,46.0
False,en,Mr. Deeds Goes to Town,"Longfellow Deeds lives in a small town, leading a small town kind of life. When a relative dies and leaves Deeds a fortune, Longfellow moves to the big city where he becomes an instant target for everyone. Deeds outwits them all until Babe Bennett comes along. When small-town boy meets big-city girl anything can, and does, happen.",1936-04-12,7.3,69.0
False,fr,Partie de campagne,"The family of a Parisian shop-owner spends a day in the country. The daughter falls in love to a man at the inn, where they spend the day.",1936-05-05,7.5,34.0
False,en,Secret Agent,"After three British agents are assigned to assassinate a mysterious German spy during World War I, two of them become ambivalent when their duty to the mission conflicts with their consciences.",1936-06-12,6.7,36.0
False,en,Swing Time,"Lucky is tricked into missing his wedding to Margaret by the other members of Pop's magic and dance act, and has to make $25000 to be allowed to marry her. He and Pop go to New York where they run into Penny, a dancing instructor. She and Lucky form a successful dance partnership, but romance is blighted (till the end of the film at least!) by his old attachment to Margaret and hers for Ricardo, the band leader who won't play for them to dance together.",1936-08-27,7.1,47.0
False,en,My Man Godfrey,A zany heiress tries to help a tramp by making him the family butler.,1936-09-17,7.7,69.0
False,en,The Awful Truth,"Unfounded suspicions lead a married couple to begin divorce proceedings, whereupon they start undermining each other's attempts to find new romance.",1937-01-01,7.2,48.0
False,en,Way Out West,"Stan and Ollie try to deliver the deed to a valuable gold mine to the daughter of a dead prospector. Unfortunately, the daughter's evil guardian is determined to have the gold mine for himself and his saloon-singer wife.",1937-04-16,7.3,42.0
False,en,Make Way for Tomorrow,"At a family reunion, the Cooper clan find that their parents' home is being foreclosed. ""Temporarily,"" Ma moves in with son George's family, Pa with daughter Cora. But the parents are like sand in the gears of their middle-aged children's well regulated households. Can the old folks take matters into their own hands?",1937-05-09,7.7,37.0
False,fr,La Grande Illusion,"A group of French soldiers, including the patrician Captain de Boeldieu and the working-class Lieutenant Maréchal, grapple with their own class differences after being captured and held in a World War I German prison camp. When the men are transferred to a high-security fortress, they must concoct a plan to escape beneath the watchful eye of aristocratic German officer von Rauffenstein, who has formed an unexpected bond with de Boeldieu.",1937-06-04,7.5,126.0
False,en,A Day at the Races,"Doctor Hugo Hackenbush, Tony, and Stuffy try and save Judy's farm by winning a big race with her horse. There are a few problems. Hackenbush runs a high priced clinic for the wealthy who don't know he has his degree in Veterinary Medicine.",1937-06-11,7.5,44.0
False,en,Captains Courageous,"Harvey, the arrogant and spoiled son of an indulgent absentee-father, falls overboard from a transatlantic steamship and is rescued by a fishing vessel on the Grand Banks. Harvey fails to persuade them to take him ashore, nor convince the crew of his wealth. The captain offers him a low-paid job, until they return to port, as part of the crew that turns him into a mature, considerate young man.",1937-06-25,6.7,35.0
False,en,Lost Horizon,"British diplomat Robert Conway and a small group of civilians crash land in the Himalayas, and are rescued by the people of the mysterious, Eden-like valley of Shangri-la. Protected by the mountains from the world outside, where the clouds of World War II are gathering, Shangri-la provides a seductive escape for the world-weary Conway.",1937-09-01,6.8,42.0
False,en,Young and Innocent,"Derrick De Marney finds himself in a 39 Steps situation when he is wrongly accused of murder. While a fugitive from the law, De Marney is helped by heroine Nova Pilbeam, who three years earlier had played the adolescent kidnap victim in Hitchcock's The Man Who Knew Too Much. The obligatory ""fish out of water"" scene, in which the principals are briefly slowed down by a banal everyday event, occurs during a child's birthday party. The actual villain, whose identity is never in doubt (Hitchcock made thrillers, not mysteries) is played by George Curzon, who suffers from a twitching eye. Curzon's revelation during an elaborate nightclub sequence is a Hitchcockian tour de force, the sort of virtuoso sequence taken for granted in these days of flexible cameras and computer enhancement, but which in 1937 took a great deal of time, patience and talent to pull off. Released in the US as The Girl Was Young, Young and Innocent was based on a novel by Josephine Tey.",1937-11-01,6.8,42.0
False,en,Snow White and the Seven Dwarfs,"A beautiful girl, Snow White, takes refuge in the forest in the house of seven dwarfs to hide from her stepmother, the wicked Queen. The Queen is jealous because she wants to be known as ""the fairest in the land,"" and Snow White's beauty surpasses her own.",1937-12-20,6.9,1973.0
False,en,Bringing Up Baby,"David Huxley is waiting to get a bone he needs for his museum collection. Through a series of strange circumstances, he meets Susan Vance, and the duo have a series of misadventures which include a leopard called Baby.",1938-02-18,7.6,201.0
False,en,Jezebel,"In 1850s Louisiana, the willfulness of a tempestuous Southern belle threatens to destroy all who care for her.",1938-03-19,7.2,39.0
False,en,The Adventures of Robin Hood,Robin Hood (Errol Flynn) fights nobly for justice against the evil Sir Guy of Gisbourne (Basil Rathbone) while striving to win the hand of the beautiful Maid Marian (Olivia de Havilland).,1938-05-13,7.6,170.0
False,fr,Le Quai des brumes,A military deserter in a French port city finds love amidst trouble.,1938-05-18,7.4,31.0
False,en,Holiday,"Johnny Case, a freethinking financier, has finally found the girl of his dreams — Julia Seton, the spoiled daughter of a socially prominent millionaire — and she's agreed to marry him. But when Johnny plans a holiday for the two to enjoy life while they are still young, his fiancée has other plans & that is for Johnny to work in her father's bank!",1938-06-15,7.0,59.0
False,en,The Lady Vanishes,"On a train headed for England a group of travelers is delayed by an avalanche. Holed up in a hotel in a fictional European country, young Iris befriends elderly Miss Froy. When the train resumes, Iris suffers a bout of unconsciousness and wakes to find the old woman has disappeared. The other passengers ominously deny Miss Froy ever existed, so Iris begins to investigate with another traveler and, as the pair sleuth, romantic sparks fly.",1938-07-26,7.5,183.0
